fun
id,AUC,pAUC
00,0.62007371007371,0.5947239105133842
02,0.5347353760445682,0.5104823339686263
04,0.5768965517241379,0.49349667271627345
06,0.5719944598337949,0.5392914419011517
Average,0.5759250244190528,0.534498589774859

